cn,indeg_in_subgraph,outdeg_in_subgraph,total_internal_citations,depth,arxiv_id,doi,inspire_url,title
790844,6,10,16,3,0807.2480,10.1140/epjc/s10052-008-0806-0,,"Transversity and T-odd PDFs from Drell-Yan processes with p p, p D and D D collisions"
810127,6,139,145,3,0901.0002,10.1140/epjc/s10052-009-1072-5,,Parton distributions for the LHC
811385,6,13,19,2,0901.3078,10.1103/PhysRevD.79.054010,,Sivers effect in Drell-Yan processes
815957,6,7,13,1,0903.3629,10.1103/PhysRevLett.103.172001,,Testing the Time-Reversal Modified Universality of the Sivers Function
816394,6,6,12,2,0903.4680,10.1103/PhysRevLett.103.052001,,Collins Fragmentation and the Single Transverse Spin Asymmetry
816486,6,5,11,4,0903.4886,10.1103/PhysRevC.80.054907,,High-pT pi0 Production with Respect to the Reaction Plane in Au + Au Collisions at s(NN)**(1/2) = 200-GeV
825956,6,10,16,1,0907.2942,10.1088/1126-6708/2009/11/093,,What can break the Wandzura-Wilczek relation?
830958,6,1,7,2,0909.2124,10.1088/1126-6708/2009/11/099,,On non-singlet physical evolution kernels and large-x coefficient functions in perturbative QCD
835438,6,1,7,2,0910.5420,10.1103/PhysRevD.81.034029,,The Fractured Boer-Mulders Effect in the Production of Polarized Baryons
852545,6,5,11,3,1004.3653,10.1007/JHEP06(2010)094,,Calculation of the quark and gluon form factors to three loops in QCD
856126,6,6,12,2,1005.4060,10.1103/PhysRevLett.106.032001,,The Beam Thrust Cross Section for Drell-Yan at NNLL Order
858845,6,4,10,4,1006.3740,10.1103/PhysRevLett.105.142301,,Azimuthal anisotropy of neutral pion production in Au+Au collisions at $\sqrt(s_NN)$ = 200 GeV: Path-length dependence of jet quenching and the role of initial geometry
862424,6,23,29,2,1007.4005,10.1140/epjc/s10052-011-1665-7,,"Drell-Yan Production at Small $q_T$, Transverse Parton Distributions and the Collinear Anomaly"
866313,6,2,8,1,1008.4432,10.1103/PhysRevD.82.114009,,Initial and Final State Interaction Effects in Small-$x$ Quark Distributions
868889,6,4,10,3,1009.3803,10.1140/epjp/i2011-11002-4,,"Transverse Spin Structure of the Nucleon through Target Single Spin Asymmetry in Semi-Inclusive Deep-Inelastic $(e,e^\prime \pi^\pm)$ Reaction at Jefferson Lab"
870935,6,6,12,2,1009.4864,10.1103/PhysRevD.82.112008,,Measurement of Transverse Single-Spin Asymmetries for $J/\psi$ Production in Polarized $p+p$ Collisions at $\sqrt{s} = 200$ GeV
872641,6,5,11,2,1010.1934,10.22323/1.119.0053,,Role and Properties of Wilson Lines in Transverse-Momentum-Dependent Parton Distribution Functions
894691,6,0,6,2,1104.0168,,,Evolution of transverse-momentum-dependent densities
897682,6,1,7,2,1104.5545,10.1140/epjc/s10052-011-1807-y,,Three-dimensional parton distribution functions $g_{1T}$ and $h_{1L}^\perp$ in the polarized proton-antiproton Drell-Yan process
899296,6,0,6,2,1105.2543,10.1016/j.physletb.2011.07.006,,On a possible node in the Sivers and Qiu-Sterman functions
913470,6,7,13,3,1106.2293,10.1016/j.physletb.2011.09.044,,Precise measurements of beam spin asymmetries in semi-inclusive $\pi^0$ production
927083,6,1,7,2,1109.2521,10.1393/ncc/i2012-11200-3,,The Adventure and the Prize
928289,6,8,14,4,1109.5141,10.1103/PhysRevD.85.072004,,Measurement of the inclusive $W^\pm$ and Z/gamma cross sections in the electron and muon decay channels in $pp$ collisions at $\sqrt{s}=7$ TeV with the ATLAS detector
931250,6,1,7,2,1110.1903,10.1016/j.nuclphysa.2012.01.012,,Parton Energy Loss and Modified Beam Quark Distribution Functions in Drell-Yan Process in p+A Collisions
940151,6,1,7,3,1110.3771,10.1103/PhysRevD.85.052006,,Measurement of the inclusive jet cross section in $p \bar {p}$ collisions at $\sqrt{s}=1.96$ TeV
940367,6,1,7,3,1110.4009,10.1007/JHEP01(2012)044,,Probing the low transverse momentum domain of Z production with novel variables
944566,6,2,8,4,1111.1145,10.22323/1.134.0289,,Compatibility of global NPDF analyses of neutrino DIS and charged-lepton DIS data
1082012,6,6,12,3,1112.4423,10.1103/PhysRevLett.108.242003,,Calculation of TMD Evolution for Transverse Single Spin Asymmetry Measurements
1087344,6,1,7,3,1202.0700,10.1016/j.physletb.2012.05.023,,T-odd quark-gluon-quark correlation function in the diquark model
1089836,6,0,6,4,1202.4642,10.1016/j.nuclphysbps.2012.03.006,,PDF fit in the fixed-flavor-number scheme
1111142,6,0,6,4,1204.3797,10.3204/DESY-PROC-2012-02/33,,Global Analysis of Nuclear PDFs
1117866,6,0,6,4,1206.2178,10.3204/DESY-PROC-2012-02/155,,Update and Comparison of Nuclear Parton Distribution Functions and Neutrino DIS
1125857,6,3,9,3,1208.0662,10.1103/PhysRevD.86.074011,,Structure of divergences in Drell-Yan process with small transverse momentum
1184367,6,2,8,3,1209.0673,10.1007/JHEP12(2012)08,,A next-to-next-to-leading order calculation of soft-virtual cross sections
1306304,6,1,7,2,1407.3272,10.1103/PhysRevD.90.054029,,Fragmentation in Jets at NNLO
1316505,6,0,6,3,1409.4359,10.1103/PhysRevD.91.012002,,Measurement of Differential Production Cross Section for $Z/\gamma^*$ Bosons in Association with Jets in $p\bar{p}$ Collisions at $\sqrt{s}=1.96$ TeV
1332079,6,0,6,1,,,,Improving predictions for collider observables by consistently combining fixed order calculations with resummed results in perturbation theory
1429562,6,0,6,3,,,,Measurements of vector boson production in association with jets at the LHC using the ATLAS detector
1793518,6,0,6,1,,10.15496/publikation-40816,,Studies of Parton Distributions in Nuclei
2649066,6,0,6,2,,,,Determination of the strong coupling $\alpha_{\mathrm{s}}$ from transverse energy-energy correlations in multi-jet events at $\sqrt{s} = 13\;\mbox{TeV}$ with the ATLAS detector
2669575,6,0,6,2,2306.09495,10.1103/PhysRevD.110.034009,,Transverse momentum dependent factorization for SIDIS at next-to-leading power
679176,5,21,26,1,hep-ph/0503270,10.1103/PhysRevD.71.114007,,Dilepton production near partonic threshold in transversely polarized proton-antiproton collisions
